Id;Facility Name;VAMC System Health Services;Facility description of services;Owner
vha_442-Addiction and substance abuse treatment;'Cheyenne VA Medical Center';'Addiction and substance abuse treatment at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7349<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a></p>';'VA Cheyenne health care'
vha_442-Audiology and speech;'Cheyenne VA Medical Center';'Audiology and speech at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Cancer care;'Cheyenne VA Medical Center';'Cancer care at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Caregiver support;'Cheyenne VA Medical Center';'Caregiver support at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+13074333607" aria-label="3 0 7. 4 3 3. 3 6 0 7.">307-433-3607</a></p>';'VA Cheyenne health care'
vha_442-Cardiology;'Cheyenne VA Medical Center';'Cardiology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Dental/oral surgery;'Cheyenne VA Medical Center';'Dental/oral surgery at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Douglas Fir Building</strong><br />Room C-121A<br /><strong><>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:00 p.m.<br />Tuesday -  7:30 a.m. to 4:00 p.m.<br />Wednesday - 7:30 a.m. to 4:00 p.m.<br />Thursday -  7:30 a.m. to 4:00 p.m.<br />Friday -  7:30 a.m. to 3:00 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /><Strong>Additional Phone:</strong> <a href="tel:+13077787310" aria-label="3 0 7. 7 7 8. 7 3 1 0.">307-778-7310</a></p>';'VA Cheyenne health care'
vha_442-Extended care and rehabilitation;'Cheyenne VA Medical Center';'Extended care and rehabilitation at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 24/7<br />Tuesday -  24/7<br />Wednesday - 24/7<br />Thursday -  24/7<br />Friday -  24/7<br />Saturday - 24/7 <br />Sunday - 24/7 <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Gastroenterology;'Cheyenne VA Medical Center';'Gastroenterology at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a>, ext. 7806<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Homeless Veteran care;'Cheyenne VA Medical Center';'Homeless Veteran care at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> NO<br /><strong>Walk-ins accepted?</strong> YES<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
vha_442-Infectious disease;'Cheyenne VA Medical Center';'Infectious disease at VA Cheyenne health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />2360 East Pershing Blvd.<br /><strong><Cheyenne, WY 82001>Phone:</strong> <a href="tel:+13077787550" aria-label="3 0 7. 7 7 8. 7 5 5 0.">307-778-7550</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m.<br />Tuesday -  8:00 a.m. to 4:30 p.m.<br />Wednesday - 8:00 a.m. to 4:30 p.m.<br />Thursday -  8:00 a.m. to 4:30 p.m.<br />Friday -  8:00 a.m. to 4:30 p.m.<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> YES<br /><strong>Walk-ins accepted?</strong> NO<br /><strong>Phone: </strong><a href="tel:+18884839127" aria-label="8 8 8. 4 8 3. 9 1 2 7.">888-483-9127</a><br /></p>';'VA Cheyenne health care'
